,Pick,Sport,ActualPayout,Amount,ROI
3,AFC Champion 2023- Chiefs,Football,$9.26,$20.00,46.3
14,MVP- Tua Tagavailoa,Football,$1.92,$2.50,76.8
16,World Cup Champion- Uruguay,Soccer,$0.27,$0.27,100.0
28,AL West Champion- Angels,Baseball,$0.35,$0.50,70.0
43,AL Champion- Toronto Blue Jays,Baseball,$0.13,$0.25,52.0
61,NBA Champion- Miami Heat,Basketball,$0.16,$1.00,16.0
91,Top Goalscorer- Barbra Banda,Soccer,$0.01,$0.10,10.0
92,Denver Broncos to lsoe in Wild Card Round,Football,$0.04,$0.10,40.0
93,Chiefs to lose in Super Bowl,Football,$0.10,$0.10,100.0
95,Goals Leader- Sam Kerr,Soccer,$0.02,$0.10,20.0
98,Goals Leader- Bethany England,Soccer,$0.02,$0.10,20.0
101,Goals Leader- Alex Morgan,Soccer,$0.01,$0.10,10.0
109,Chiefs to lose in conference championship,Football,$0.11,$0.10,110.0
110,NFL Champion- Jaguars,Football,$0.10,$0.23,43.48
111,NFL Champion- Falcons,Football,$0.04,$0.10,40.0
129,AFC North Champion- Steelers,Football,$0.10,$0.10,100.0
132,NFC North Champion- Bears,Football,$0.02,$0.14,14.29
136,NFL Champion- Chiefs,Football,$0.08,$0.10,80.0
167,Winner - Scottie Scheffler,Golf,$0.01,$0.10,10.0
169,Winner - Collin Morikawa,Golf,$0.02,$0.10,20.0
171,Oregon to make CFP,College Football,$0.13,$0.10,130.0
185,MLB Champion- Phillies,Baseball,$0.13,$0.10,130.0
188,MLB Champion- Rangers,Baseball,$0.01,$0.10,10.0
190,MLB Champion- DBacks,Baseball,$0.06,$0.10,60.0
192,ALCS Champion- Astros,Baseball,$0.03,$0.10,30.0
196,MLB Champion- Reds,Baseball,$0.10,$0.10,100.0
197,MLB Champion- Cubs,Baseball,$0.09,$0.10,90.0
198,MLB Champion- Brewers,Baseball,$0.09,$0.10,90.0
199,MLB Champion- Cardinals,Baseball,$0.09,$0.10,90.0
200,MLB Champion- Guardians,Baseball,$0.09,$0.10,90.0
207,ACC Champion- Virginia,Basketball,$0.10,$0.10,100.0
208,Big 12 Champion - BYU,Basketball,$0.10,$0.10,100.0
210,SEC Champion- Auburn,Basketball,$0.10,$0.10,100.0
211,Big 10 Champion - Illinois,Basketball,$0.10,$0.10,100.0
212,Northwest Division Champion- OKC Thunder,Basketball,$0.10,$0.10,100.0
214,Western Conference Champion- Minnesota Timberwolves,Basketball,$0.10,$0.10,100.0
215,Eastern Conference Champion- Orlando Magic,Basketball,$0.10,$0.10,100.0
218,NFL Champion- Baltimore Ravens,Football,$0.10,$0.10,100.0
223,Champion- Alabama,College Basketball,$0.03,$1.00,3.0
227,AL Central Champion- KC Royals,Baseball,$0.24,$0.20,120.0
230,Champion- Florida,College Baseball,$0.02,$0.20,10.0
232,Champion- LSU,College Baseball,$0.02,$0.20,10.0
265,AL Winner- Mariners,Baseball,$0.01,$0.10,10.0
266,AL Winner- Guardians,Baseball,$0.19,$0.10,190.0
267,MLB Champion- Yankees,Baseball,$0.10,$0.10,100.0
268,MLB Champion- Phillies,Baseball,$0.10,$0.10,100.0
298,Western Conference Champion- OKC Thunder,Basketball,$0.12,$0.10,120.0
308,NL West Winner- Padres,Baseball,$0.06,$0.10,60.0
310,ML Champion- Royals,Baseball,$0.12,$0.10,120.0
317,AL Champion- Tigers,Baseball,$0.20,$0.10,200.0
319,ML Champion- Royals,Baseball,$0.21,$0.10,210.0
320,AL Champion- Royals,Baseball,$0.14,$0.10,140.0
321,AL Champion- Tigers,Baseball,$0.24,$0.10,240.0
