Date,Sportsbook,Sport,System,Notes,Pick,FreeBet,Amount,Odds,Result,PushAmount,bet_group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout
2022-12-09,FanDuel,Soccer,Intuition,,Brazil and Netherlands to advance,Y,$0.09,165.0,L,,,165.0,$0.15,$0.15,38.0,$0.94,$0.00
2022-12-09,FanDuel,Soccer,Intuition,,Netherlands to advance,Y,$0.09,130.0,L	,,,130.0,$0.12,$0.12,43.0,$0.95,$0.00
2022-12-09,FanDuel,Soccer,Promo,Odds boost,Brazil & Argentina to qualify for Semi finals,Y,$0.09,120.0,L,,,120.0,$0.11,$0.11,45.0,$0.95,$0.00
2022-12-31,Barstool,Basketball,KenPom,High defensive rating,WCC Champion- Saint Mary’s,N,$0.52,900.0,W,,,900.0,$4.68,$5.20,10.0,$0.53,$5.20
2023-02-16,FanDuel,Baseball,Intuition,,AL Central Champion- Cleveland Guardians,Y,$5.00,135.0,L,,,135.0,$6.75,$6.75,43.0,$0.15,$0.00
2023-03-21,BetMGM,College Basketball,KenPom,,NCAA Tournament Champion- Houston,Y,$10.00,400.0,L,,,400.0,$40.00,$40.00,20.0,$-6.00,$0.00
2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Angels 2nd in AL West,N,$0.50,310.0,L,,,310.0,$1.55,$2.05,24.0,$0.62,$-0.50
2023-03-25,DraftKings,Baseball,Internet,Read it on several sites,AL West Champion- Angels,N,$0.50,750.0,C,$0.35,,750.0,$3.75,$4.25,12.0,$0.56,$0.35
2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,NL Champion- Braves,N,$1.00,670.0,L,,,670.0,$6.70,$7.70,13.0,$0.13,$-1.00
2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Royals 4th in AL Central,N,$0.50,180.0,L,,2023 MLB KC Royals Division Finish,180.0,$0.90,$1.40,36.0,$0.68,$-0.50
2023-03-25,DraftKings,Baseball,Intuition,,Royals 3rd in AL Central,N,$0.50,475.0,L,,2023 MLB KC Royals Division Finish,475.0,$2.38,$2.88,17.0,$0.58,$-0.50
2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Tigers 5th in AL Central,N,$0.50,115.0,L,,,115.0,$0.57,$1.07,47.0,$0.74,$-0.50
2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,NL West Champion- Padres,N,$0.50,120.0,L,,,120.0,$0.60,$1.10,45.0,$0.72,$-0.50
2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,AL Central Champion- White Sox,N,$0.50,250.0,L,,,250.0,$1.25,$1.75,29.0,$0.64,$-0.50
2023-03-25,DraftKings,Baseball,Sheehan Newsletter,,Guardians 2nd place in AL Central,N,$0.50,215.0,L,,,215.0,$1.08,$1.58,32.0,$0.66,$-0.50
2023-03-26,DraftKings,Baseball,Laghezza,,Kyle Tucker over 154.5 hits,N,$0.25,-105.0,W,,,105.0,$0.24,$0.49,51.0,$0.88,$0.49
2023-03-26,DraftKings,Baseball,Laghezza,,AL ROY- Masataka Yoshida,N,$0.25,500.0,L,,,500.0,$1.25,$1.50,17.0,$0.79,$-0.25
2023-03-26,DraftKings,Baseball,Laghezza,,Hits Leader- Steven Kwan,N,$0.25,3500.0,L,,,3500.0,$8.75,$9.00,3.0,$0.76,$-0.25
2023-03-26,DraftKings,Baseball,Laghezza,,AL Cy Young- Shane McClanahan,N,$0.25,1200.0,L,,2023 MLB AL Cy Young,1200.0,$3.00,$3.25,8.0,$0.77,$-0.25
2023-03-26,DraftKings,Baseball,Laghezza,,AL Cy Young- Luis Castillo,N,$0.25,1700.0,L,,2023 MLB AL Cy Young,1700.0,$4.25,$4.50,6.0,$0.76,$-0.25
2023-03-26,DraftKings,Baseball,Laghezza,,Runs Leader- Steven Kwan,N,$0.25,7000.0,L,,,7000.0,$17.50,$17.75,1.0,$0.75,$-0.25
2023-03-26,DraftKings,Baseball,Laghezza,,AL MVP- Kyle Tucker,N,$0.25,2500.0,L,,2023 MLB AL MVP,2500.0,$6.25,$6.50,4.0,$0.76,$-0.25
2023-03-26,DraftKings,Baseball,Sheehan Newsletter,,AL Champion- Toronto Blue Jays,N,$0.25,650.0,C,$0.13,,650.0,$1.62,$1.87,13.0,$0.78,$0.13
2023-03-26,DraftKings,Baseball,Intuition,,Spencer Strider over 206.5 K's,N,$0.25,-105.0,W,,,105.0,$0.24,$0.49,51.0,$0.88,$0.49
2023-03-26,DraftKings,Baseball,Intuition,,Jacob deGrom under 198.5 K's,N,$0.25,-120.0,W,,,120.0,$0.21,$0.46,55.0,$0.89,$0.46
2023-03-26,DraftKings,Baseball,Intuition,,Blake Snell under 183.5 K's,N,$0.25,-120.0,L,,,120.0,$0.21,$0.46,55.0,$0.89,$-0.25
2023-03-26,DraftKings,Baseball,Laghezza,,SB Leader- Esteury Ruiz,N,$0.25,700.0,L,,,700.0,$1.75,$2.00,12.0,$0.78,$-0.25
2023-03-26,DraftKings,Baseball,Intuition,,Royals to win 67-72 games,N,$0.25,265.0,L,,,265.0,$0.66,$0.91,27.0,$0.82,$-0.25
2023-03-26,DraftKings,Baseball,Intuition,,AL MVP- Shohei Ohtani,N,$0.25,190.0,W,,2023 MLB AL MVP,190.0,$0.48,$0.73,34.0,$0.84,$0.73
2023-03-29,DraftKings,Baseball,Sheehan Newsletter,,Blue Jays over 101 wins,N,$0.25,600.0,L,,,600.0,$1.50,$1.75,14.0,$0.78,$-0.25
2023-03-29,DraftKings,Baseball,Sheehan Newsletter,,SF Giants finish 4th in division,N,$0.25,300.0,W,,,300.0,$0.75,$1.00,25.0,$0.81,$1.00
2023-03-29,DraftKings,Baseball,Sheehan Newsletter,,Boston Red Sox finish 4th in division,N,$0.25,185.0,L,,,185.0,$0.46,$0.71,35.0,$0.84,$-0.25
2023-04-18,PointsBet,Hockey,538,,NHL Champion- Bruins,Y,$25.00,280.0,L,,2023 NHL Champion,280.0,$70.00,$70.00,26.0,$-11.50,$0.00
2023-04-19,PointsBet,Basketball,538,,Division Series Champion- Cavs,Y,$25.00,-125.0,L,,,125.0,$20.00,$20.00,56.0,$4.00,$0.00
2023-04-22,PointsBet,Soccer,538,,Europa Conference Cup Champion- Fiorentina ,Y,$2.50,200.0,L,,,200.0,$5.00,$5.00,33.0,$-0.67,$0.00
2023-04-22,PointsBet,Soccer,538,,Europa Cup Champion- Bayer Leverkusen,Y,$2.50,275.0,L,,,275.0,$6.88,$6.88,27.0,$-0.82,$0.00
2023-04-22,PointsBet,Football,Intuition,,AFC Champion- Chiefs,Y,$2.50,350.0,W,,,350.0,$8.75,$8.75,22.0,$-0.95,$8.75
2023-05-13,BetMGM,Basketball,Intuition,,Division Series Champion- Lakers,Y,$5.00,120.0,L,,,120.0,$6.00,$6.00,45.0,$0.25,$0.00
2023-05-13,BetMGM,Basketball,Intuition,Hedge against Nuggets winning Western Conference,Western Conference Champion- Lakers,Y,$5.00,120.0,L,,,120.0,$6.00,$6.00,45.0,$0.25,$0.00
2023-05-13,DraftKings,Baseball,Intuition,,NL ROY- James Outman,N,$0.25,135.0,L,,,135.0,$0.34,$0.59,43.0,$0.86,$-0.25
2023-05-24,DraftKings,Basketball,Hedge,,NBA Champion- Miami Heat,N,$1.00,360.0,C,$0.16,,360.0,$3.60,$4.60,22.0,$0.22,$0.16
2023-05-25,DraftKings,College Football,Intuition,,Big 12 Champion- KU,N,$0.10,3500.0,L,,,3500.0,$3.50,$3.60,3.0,$0.90,$-0.10
2023-05-25,DraftKings,College Football,Intuition,,Pac 12 Champion- Colorado,N,$0.10,12000.0,L,,,12000.0,$12.00,$12.10,1.0,$0.90,$-0.10
2023-05-25,DraftKings,College Football,Intuition,,Heisman winner- Shedeur Sanders,N,$0.10,15000.0,L,,,15000.0,$15.00,$15.10,1.0,$0.90,$-0.10
2023-05-29,FanDuel,Basketball,538,Hedging bet originally made for Celtics and Nuggets to reach the NBA Finals,Eastern Conference Champion- Heat,N,$450.00,245.0,W	,,,245.0,"$1,102.50","$1,552.50",29.0,$-188.50,"$1,552.50"
2023-06-02,BetMGM,Basketball,Intuition,,NBA Finals ends in 5 games,Y,$2.00,175.0,W,,,175.0,$3.50,$3.50,36.0,$-0.28,$3.50
2023-06-14,BetMGM,Golf,Internet,,Winner - Cameron Smith,Y,$2.00,2800.0,L,,,2800.0,$56.00,$56.00,3.0,$-0.94,$0.00
2023-06-17,DraftKings,College Baseball,Intuition,,College World Series Champion- Wake Forest,Y,$0.10,170.0,L,,,170.0,$0.17,$0.17,37.0,$0.94,$0.00
2023-06-22,DraftKings,Basketball,Data analysis,,"1-3 correct order NBA draft: Wemby, Scoot, Miller",N,$0.25,140.0,W	,,,140.0,$0.35,$0.60,42.0,$0.86,$0.00
2023-06-22,DraftKings,Basketball,Intuition,,Jarace Walker to be drafted over Ausar Thompson,N,$0.25,140.0,L,,,140.0,$0.35,$0.60,42.0,$0.86,$-0.25
2023-06-22,DraftKings,Basketball,Intuition,,Top 10 Pick- Bilal Colulibaly,N,$0.25,100.0,W,,,100.0,$0.25,$0.50,50.0,$0.88,$0.50
2023-06-22,DraftKings,Basketball,Intuition,,Top 10 Pick- Gradey Dick,N,$0.25,320.0,L,,,320.0,$0.80,$1.05,24.0,$0.81,$-0.25
2023-06-22,DraftKings,Basketball,Intuition,,Top 5 Pick- Jarace Walker,N,$0.25,140.0,L,,,140.0,$0.35,$0.60,42.0,$0.86,$-0.25
2023-06-22,DraftKings,Basketball,Hedge,,"1-5 correct order NBA draft: Wemby, Miller, Scoot, Amen, Jarace",N,$0.50,2000.0,L,,2023 NBA Draft Order 1-5,2000.0,$10.00,$10.50,5.0,$0.52,$-0.50
2023-06-22,DraftKings,Basketball,Hedge,,"1-5 correct order NBA draft: Wemby, Miller, Scoot, Amen, Jarace",N,$0.50,600.0,L,,2023 NBA Draft Order 1-5,600.0,$3.00,$3.50,14.0,$0.57,$-0.50
