GameNumber,Moneyline,Risk,Win,Return,Profit,MLRolloverOdds
1,-1500,2.59,0.17266666666666666,2.7626666666666666,0.17266666666666675,6.6666666666666705
2,-400,2.7626666666666666,0.6906666666666667,3.453333333333333,0.8633333333333333,33.33333333333333
3,-350,3.453333333333333,0.9866666666666666,4.4399999999999995,1.8499999999999996,71.42857142857142
4,-250,4.4399999999999995,1.7759999999999998,6.215999999999999,3.6259999999999994,140.0
5,-150,6.215999999999999,4.143999999999999,10.36,7.77,300.0
6,-125,10.36,8.288,18.648,16.058,620.0
