Bet Group: 2023 MLB AL Cy Young
Total Payout:, $-0.50

2023-07-21,DraftKings,Football,Internet,,Coach of the Year- Kyle Shanahan,N,$0.10,3000.0,L,,,3000.0,3.0,3.1,3.0,0.9,-0.1,31.0,$3.00,$2.80,2800.0
Bet Group: 2023 NFL Comeback Player of the Year
Total Payout:, $-0.20

2023-08-05,DraftKings,Football,Internet,,Comeback Player- Russell Wilson,N,$0.10,2000.0,L,,,2000.0,2.0,2.1,5.0,0.9,-0.1,21.0,$2.00,$1.80,1800.0
2023-08-05,DraftKings,Football,Internet,,Comeback Player- Lamar Jackson,N,$0.10,2500.0,L,,,2500.0,2.5,2.6,4.0,0.9,-0.1,26.0,$2.50,$2.30,2300.0
Bet Group: 2023 NFL MVP
Total Payout:, $1.30

2023-07-21,DraftKings,Football,Internet,,MVP- Tua Tagovailoa,N,$0.10,2200.0,L,,,2200.0,2.2,2.3,4.0,0.9,-0.1,23.0,$2.20,$1.80,1800.0
2023-07-21,DraftKings,Football,Internet,,MVP-Patrick Mahomes,N,$0.10,700.0,L,,,700.0,0.7,0.8,12.0,0.91,-0.1,8.0,$0.70,$0.30,300.0
2023-07-21,DraftKings,Football,Internet,,MVP- Jalen Hurts,N,$0.10,1100.0,L,,,1100.0,1.1,1.2,8.0,0.91,-0.1,12.0,$1.10,$0.70,700.0
2023-07-30,DraftKings,Football,Internet,,MVP-Lamar Jackson,N,$0.10,1500.0,W,,,1500.0,1.5,1.6,6.0,0.91,1.6,16.0,$1.50,$1.10,1100.0
Bet Group: 2023 NFL OPOY
Total Payout:, $-0.20

2023-07-21,DraftKings,Football,Internet,,Offensive POY- Jamarr Chase,N,$0.10,1100.0,L,,,1100.0,1.1,1.2,8.0,0.91,-0.1,12.0,$1.10,$0.90,900.0
2023-07-21,DraftKings,Football,Internet,,Offensive POY- Justin Jefferson,N,$0.10,1300.0,L,,,1300.0,1.3,1.4,7.0,0.91,-0.1,14.0,$1.30,$1.10,1100.0
Bet Group: 2023 NFL Passing TDs Leader
Total Payout:, $-0.20

2023-07-21,DraftKings,Football,Internet,,Passing TDs Leader- Tua,N,$0.10,1600.0,L,,,1600.0,1.6,1.7,6.0,0.91,-0.1,17.0,$1.60,$1.40,1400.0
2023-07-21,DraftKings,Football,Internet,,Passing TDs Leader- Joe Burrow,N,$0.10,450.0,L,,,450.0,0.45,0.55,18.0,0.92,-0.1,5.5,$0.45,$0.25,250.0
Bet Group: 2023 NFL Rec Yds Leader
Total Payout:, $0.80

2023-07-21,DraftKings,Football,Internet,,Receiving Yards Leader- Calvin Ridley,N,$0.10,5000.0,L,,,5000.0,5.0,5.1,2.0,0.9,-0.1,51.0,$5.00,$4.70,4700.0
2023-07-21,DraftKings,Football,Internet,,Receiving Yards Leader- Justin Jefferson,N,$0.10,550.0,L,,,550.0,0.55,0.65,15.0,0.92,-0.1,6.5,$0.55,$0.25,250.0
2023-07-30,DraftKings,Football,Internet,,Receiving Yards Leader- Tyreek Hill,N,$0.10,900.0,W,,,900.0,0.9,1.0,10.0,0.91,1.0,10.0,$0.90,$0.60,600.0
Bet Group: 2023 NFL Receptions Leader
Total Payout:, $-0.20

2023-07-30,DraftKings,Football,Internet,,Receptions Leader- Cooper Kupp,N,$0.10,500.0,L,,,500.0,0.5,0.6,17.0,0.92,-0.1,6.0,$0.50,$0.30,300.0
2023-07-30,DraftKings,Football,Internet,,Receptions Leader- Amon Ra St. Brown,N,$0.10,1800.0,L,,,1800.0,1.8,1.9,5.0,0.9,-0.1,19.0,$1.80,$1.60,1600.0
Bet Group: 2023 NFL Rookie Rec Yds Leader
Total Payout:, $-0.40

2023-08-05,DraftKings,Football,Internet,,Rookies Receving Yards Leader- Rashee Rice,N,$0.10,190.0,L,,,190.0,0.19,0.29,34.0,0.93,-0.1,2.9,$0.19,$-0.21,-210.0
2023-08-06,DraftKings,Football,Internet,,Rookies Receving Yards Leader- Jordan Addison,N,$0.10,300.0,L,,,300.0,0.3,0.4,25.0,0.92,-0.1,4.0,$0.30,$-0.10,-100.0
2023-08-06,DraftKings,Football,Internet,,Rookies Receving Yards Leader- Jahmyr Gibbs,N,$0.10,3500.0,L,,,3500.0,3.5,3.6,3.0,0.9,-0.1,36.0,$3.50,$3.10,3100.0
2023-08-06,DraftKings,Football,Internet,,Rookies Receving Yards Leader- Quentin Johnston,N,$0.10,350.0,L,,,350.0,0.35,0.45,22.0,0.92,-0.1,4.5,$0.35,$-0.05,-50.0
Bet Group: 2023 NHL Champion
Total Payout:, $0.00

2022-10-29,BetMGM,Hockey,538,,NHL Champion- Avalanche,Y,$50.00,425.0,L,,,425.0,212.5,212.5,19.0,-30.5,0.0,5.25,$212.50,$137.50,275.0
2023-04-18,PointsBet,Hockey,538,,NHL Champion- Bruins,Y,$25.00,280.0,L,,,280.0,70.0,70.0,26.0,-11.5,0.0,3.8,$70.00,$-5.00,-20.0
Bet Group: 2023 PGA Fedex St. Jude Champion
Total Payout:, $-0.17

2023-08-07,DraftKings,Golf,Golf magazine system,,Winner - Sam Burns,N,$0.10,3500.0,L,,,3500.0,3.5,3.6,3.0,0.9,-0.1,36.0,$3.50,$3.10,3100.0
2023-08-07,DraftKings,Golf,Golf magazine system,,Winner - Tony Finau,N,$0.10,3000.0,L,,,3000.0,3.0,3.1,3.0,0.9,-0.1,31.0,$3.00,$2.60,2600.0
