Date,Sportsbook,Sport,System,Notes,Pick,FreeBet,Amount,Odds,Result,PushAmount,bet_group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout
2023-03-26,DraftKings,Baseball,Intuition,,Spencer Strider over 206.5 K's,N,0.25,-105.0,W,,,105.0,0.24,0.49,51.0,0.88,0.49
2023-03-26,DraftKings,Baseball,Intuition,,Jacob deGrom under 198.5 K's,N,0.25,-120.0,W,,,120.0,0.21,0.46,55.0,0.89,0.46
2023-03-26,DraftKings,Baseball,Intuition,,Blake Snell under 183.5 K's,N,0.25,-120.0,L,,,120.0,0.21,0.46,55.0,0.89,-0.25
2023-03-26,DraftKings,Baseball,Laghezza,,SB Leader- Esteury Ruiz,N,0.25,700.0,L,,,700.0,1.75,2.0,12.0,0.78,-0.25
2023-03-26,DraftKings,Baseball,Intuition,,Royals to win 67-72 games,N,0.25,265.0,L,,,265.0,0.66,0.91,27.0,0.82,-0.25
2023-03-26,DraftKings,Baseball,Intuition,,AL MVP- Shohei Ohtani,N,0.25,190.0,W,,2023 MLB AL MVP,190.0,0.48,0.73,34.0,0.84,0.73
2023-03-29,DraftKings,Baseball,Sheehan Newsletter,,Blue Jays over 101 wins,N,0.25,600.0,L,,,600.0,1.5,1.75,14.0,0.78,-0.25
2023-03-29,DraftKings,Baseball,Sheehan Newsletter,,SF Giants finish 4th in division,N,0.25,300.0,W,,,300.0,0.75,1.0,25.0,0.81,1.0
2023-03-29,DraftKings,Baseball,Sheehan Newsletter,,Boston Red Sox finish 4th in division,N,0.25,185.0,L,,,185.0,0.46,0.71,35.0,0.84,-0.25
2023-04-18,PointsBet,Hockey,538,,NHL Champion- Bruins,Y,25.0,280.0,L,,2023 NHL Champion,280.0,70.0,70.0,26.0,-11.5,0.0
2023-04-19,PointsBet,Basketball,538,,Division Series Champion- Cavs,Y,25.0,-125.0,L,,,125.0,20.0,20.0,56.0,4.0,0.0
2023-04-22,PointsBet,Soccer,538,,Europa Conference Cup Champion- Fiorentina ,Y,2.5,200.0,L,,,200.0,5.0,5.0,33.0,-0.67,0.0
2023-04-22,PointsBet,Soccer,538,,Europa Cup Champion- Bayer Leverkusen,Y,2.5,275.0,L,,,275.0,6.88,6.88,27.0,-0.82,0.0
2023-04-22,PointsBet,Football,Intuition,,AFC Champion- Chiefs,Y,2.5,350.0,W,,,350.0,8.75,8.75,22.0,-0.95,8.75
2023-05-13,BetMGM,Basketball,Intuition,,Division Series Champion- Lakers,Y,5.0,120.0,L,,,120.0,6.0,6.0,45.0,0.25,0.0
2023-05-13,BetMGM,Basketball,Intuition,Hedge against Nuggets winning Western Conference,Western Conference Champion- Lakers,Y,5.0,120.0,L,,,120.0,6.0,6.0,45.0,0.25,0.0
2023-05-13,DraftKings,Baseball,Intuition,,NL ROY- James Outman,N,0.25,135.0,L,,,135.0,0.34,0.59,43.0,0.86,-0.25
2023-05-24,DraftKings,Basketball,Hedge,,NBA Champion- Miami Heat,N,1.0,360.0,C,0.16,,360.0,3.6,4.6,22.0,0.22,0.16
2023-05-25,DraftKings,College Football,Intuition,,Big 12 Champion- KU,N,0.1,3500.0,L,,,3500.0,3.5,3.6,3.0,0.9,-0.1
2023-05-25,DraftKings,College Football,Intuition,,Pac 12 Champion- Colorado,N,0.1,12000.0,L,,,12000.0,12.0,12.1,1.0,0.9,-0.1
2023-05-25,DraftKings,College Football,Intuition,,Heisman winner- Shedeur Sanders,N,0.1,15000.0,L,,,15000.0,15.0,15.1,1.0,0.9,-0.1
2023-05-29,FanDuel,Basketball,538,Hedging bet originally made for Celtics and Nuggets to reach the NBA Finals,Eastern Conference Champion- Heat,N,450.0,245.0,W	,,,245.0,1102.5,1552.5,29.0,-188.5,1552.5
2023-06-02,BetMGM,Basketball,Intuition,,NBA Finals ends in 5 games,Y,2.0,175.0,W,,,175.0,3.5,3.5,36.0,-0.28,3.5
2023-06-14,BetMGM,Golf,Internet,,Winner - Cameron Smith,Y,2.0,2800.0,L,,,2800.0,56.0,56.0,3.0,-0.94,0.0
2023-06-17,DraftKings,College Baseball,Intuition,,College World Series Champion- Wake Forest,Y,0.1,170.0,L,,,170.0,0.17,0.17,37.0,0.94,0.0
2023-06-22,DraftKings,Basketball,Data analysis,,"1-3 correct order NBA draft: Wemby, Scoot, Miller",N,0.25,140.0,W	,,,140.0,0.35,0.6,42.0,0.86,0.0
2023-06-22,DraftKings,Basketball,Intuition,,Jarace Walker to be drafted over Ausar Thompson,N,0.25,140.0,L,,,140.0,0.35,0.6,42.0,0.86,-0.25
2023-06-22,DraftKings,Basketball,Intuition,,Top 10 Pick- Bilal Colulibaly,N,0.25,100.0,W,,,100.0,0.25,0.5,50.0,0.88,0.5
2023-06-22,DraftKings,Basketball,Intuition,,Top 10 Pick- Gradey Dick,N,0.25,320.0,L,,,320.0,0.8,1.05,24.0,0.81,-0.25
2023-06-22,DraftKings,Basketball,Intuition,,Top 5 Pick- Jarace Walker,N,0.25,140.0,L,,,140.0,0.35,0.6,42.0,0.86,-0.25
2023-06-22,DraftKings,Basketball,Hedge,,"1-5 correct order NBA draft: Wemby, Miller, Scoot, Amen, Jarace",N,0.5,2000.0,L,,2023 NBA Draft Order 1-5,2000.0,10.0,10.5,5.0,0.52,-0.5
2023-06-22,DraftKings,Basketball,Hedge,,"1-5 correct order NBA draft: Wemby, Miller, Scoot, Amen, Jarace",N,0.5,600.0,L,,2023 NBA Draft Order 1-5,600.0,3.0,3.5,14.0,0.57,-0.5
2023-06-22,DraftKings,Basketball,Hedge,,"1-5 correct order NBA draft: Wemby, Miller, Scoot, Amen, Ausar",N,0.5,500.0,W,,2023 NBA Draft Order 1-5,500.0,2.5,3.0,17.0,0.58,3.0
2023-06-22,DraftKings,Basketball,Data analysis,,"1-5 correct order NBA draft: Wemby, Scoot, Miller, Amen, Ausar",N,0.5,200.0,L,,2023 NBA Draft Order 1-5,200.0,1.0,1.5,33.0,0.66,-0.5
2023-07-19,DraftKings,Soccer,Internet,,Reach Semi Final - Netherlands,N,0.1,350.0,L,,,350.0,0.35,0.45,22.0,0.92,-0.1
2023-07-19,DraftKings,Golf,Internet,,Top 5- Cameron Smith,N,0.1,450.0,L,,,450.0,0.45,0.55,18.0,0.92,-0.1
2023-07-19,DraftKings,Golf,Internet,,Top 10- Cameron Smith,N,0.1,220.0,L,,,220.0,0.22,0.32,31.0,0.93,-0.1
2023-07-19,DraftKings,Golf,Internet,,Top 5- Rory McIlroy,N,0.1,190.0,L,,,190.0,0.19,0.29,34.0,0.93,-0.1
2023-07-19,DraftKings,Golf,Internet,,Top 10- Tyrell Hatton,N,0.1,260.0,L,,,260.0,0.26,0.36,28.0,0.93,-0.1
2023-07-19,DraftKings,Golf,Internet,,Top 10- Jason Day,N,0.1,100.0,W,,,100.0,0.1,0.2,50.0,0.95,0.2
2023-07-19,DraftKings,Golf,Internet,,Top 10- Cameron Young,N,0.1,550.0,W,,,550.0,0.55,0.65,15.0,0.92,0.65
2023-07-19,DraftKings,Golf,Internet,,Top 10- Tom Kim,N,0.1,550.0,W,,,550.0,0.55,0.65,15.0,0.92,0.65
2023-07-19,DraftKings,Golf,Internet,Odds boost,Winner - Scottie Scheffler,N,0.1,1000.0,L,,2023 PGA The Open Championship,1000.0,1.0,1.1,9.0,0.91,-0.1
2023-07-19,DraftKings,Golf,Internet,,Winner - Cameron Smith,N,0.1,2000.0,L,,2023 PGA The Open Championship,2000.0,2.0,2.1,5.0,0.9,-0.1
