,Date,Sport,System,Notes,Pick,BetType,FreeBet,Amount,Odds,Result,PushAmount,Group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout,TotalAfterRepay,MuneersCut,BrittsCut
10,2023-10-22,Football,Laghezza,,Luke Musgrave - 7 rec,Prop,N,0.2,1425.0,L,,1022 Luke Musgrave,1425.0,2.85,3.05,7.0,0.81,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
11,2023-10-29,Football,Laghezza,,Tyler Conklin - 5 rec,Prop,N,0.2,330.0,L,,1029 Tyler Conklin,330.0,0.66,0.86,23.0,0.85,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
12,2023-10-29,Football,Laghezza,,Tyler Conklin - 6 rec,Prop,N,0.2,725.0,L,,1029 Tyler Conklin,725.0,1.45,1.65,12.0,0.82,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
13,2023-10-29,Football,Laghezza,,Odell Beckham - 5 rec,Prop,N,0.2,450.0,L,,1029 Odell Beckham,450.0,0.9,1.1,18.0,0.84,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
14,2023-10-29,Football,Laghezza,,Odell Beckham - 6 rec,Prop,N,0.2,1075.0,L,,1029 Odell Beckham,1075.0,2.15,2.35,9.0,0.82,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
15,2023-10-29,Football,Laghezza,,Darnell Mooney - 4 rec,Prop,N,0.4,215.0,L,,1029 Darnell Mooney,215.0,0.86,1.26,32.0,0.73,-0.4,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
16,2023-10-29,Football,Laghezza,,Darnell Mooney - 5 rec,Prop,N,0.2,500.0,L,,1029 Darnell Mooney,500.0,1.0,1.2,17.0,0.83,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
17,2023-10-29,Football,Laghezza,,Darnell Mooney - 6 rec,Prop,N,0.2,1125.0,L,,1029 Darnell Mooney,1125.0,2.25,2.45,8.0,0.82,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
18,2023-10-29,Football,Laghezza,,Michael Gallup - 6 rec,Prop,N,0.2,725.0,L,,1029 Michael Gallup,725.0,1.45,1.65,12.0,0.82,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
19,2023-10-29,Football,Laghezza,,Emari Demarcado - 5 rec,Prop,N,0.2,825.0,L,,1029 Emari Demarcado,825.0,1.65,1.85,11.0,0.82,-0.2,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
